"Something wrong while deleting your account. Please contact the store owner.","Something wrong while deleting your account. Please contact the store owner."
"Delete Account","Delete Account"
"Are you sure you want to delete your account?","Are you sure you want to delete your account?"
"You will go to our homepage in 5 seconds.","You will go to our homepage in 5 seconds."
"Delete Address","Delete Address"
GDPR,GDPR
General,General
Enable,Enable
"Allow Delete Customer Account","Allow Delete Customer Account"
"Allow Delete Default Address","Allow Delete Default Address"
"Your account has been deleted","Your account has been deleted"
